no,judul_inovasi,pemda,admin_opd,inisiator,nama_inisiator,bentuk_inovasi,jenis,asta_cipta,urusan_utama,urusan_lain_yang_beririsan,kematangan,tahapan_inovasi,tanggal_input,tanggal_penerapan,tanggal_pengembangan,video,link_video,label_kematangan,lat,lon
373,RISAL (Renal Information Schedule and Analysis),Provinsi Jawa Timur,Dinas Kesehatan UPT. RS Karsa Husada (jatimprov.dinkes.uptkarsahusada),ASN,ANIK SUNTIARI,Inovasi Pelayanan Publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kesehatan,Tidak Ada,111.0,Penerapan,2025-07-16,2023-02-14,2024-04-15,Ada,https://drive.google.com/file/d/1N3uH9-ATprxEJ19mUaV2X-MEBopAQ9ZD/view?usp=drive_link,Sangat Inovatif,,
374,SI CANTIK AKTIF (Sistem Canggih dan Elektronik Waktu Penggantian Infus),Provinsi Jawa Timur,Dinas Kesehatan UPT. RS Mangun Harjo Madiun (jatimprov.dinkes.uptmangunharjomadiun),OPD,Unit VIP Rumah Sakit Paru Manguharjo Provinsi Jawa Timur,Inovasi Pelayanan Publik,Teknologi,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kesehatan,Tidak Ada,111.0,Penerapan,2025-07-16,2023-01-03,2023-01-03,Ada,https://drive.google.com/file/d/1sHu8lFKwVyBZvYC8sHtAiZ2b1ehNTRR9/view?usp=sharing,Sangat Inovatif,-7.615369074093687,111.52398590770353
375,BANGUN INDIKATOR SISTEM PERINGATAN AIR TANDON DENGAN ALARM SEDERHANA (BIS PATAS),Provinsi Jawa Timur,Dinas Kesehatan UPT. RS Mangun Harjo Madiun (jatimprov.dinkes.uptmangunharjomadiun),OPD,Unit IPSRS Rumah Sakit Paru Manguharjo Provinsi Jawa Timur,Inovasi Tata Kelola Pemerintahan Daerah,Teknologi,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kesehatan,Tidak Ada,111.0,Penerapan,2025-07-16,2023-01-03,2023-01-03,Ada,https://res5.tuxedovation.com/842f4c1b4477533b542867f6427b36a7f81aa88a.mp4,Sangat Inovatif,-7.615369074093687,111.52398590770353
376,Mengemban Amanat (MENGELOLA SAMPAH BAHAN BERBAHAYA DAN BERACUN MENJADI AMAN DAN BERMANFAAT),Provinsi Jawa Timur,Rumah Sakit Umum Daerah Haji Surabaya (jatimprov.rsudhaji),OPD,"Djumadi Purnomo,S.Si,M.Si",Inovasi Pelayanan Publik,Non Digital,"Memantapkan sistem pertahanan keamanan negara dan mendorong kemandirian bangsa melalui swasembada pangan, energi, air, ekonomi kreatif, ekonomi hijau, dan ekonomi biru.",Kesehatan,Lingkungan Hidup,111.0,Penerapan,2025-07-16,2023-08-19,2024-01-02,Ada,https://youtu.be/z-u76Ov8urM?si=g9Yuj3gro2eedh6u,Sangat Inovatif,-7.283067964336847,112.7797595018486
377,PAK HAJI UNGGUL (PROGRAM ASI EKSKLUSIF RSUD HAJI UNTUK MEMBENTUK GENERASI UNGGUL),Provinsi Jawa Timur,Rumah Sakit Umum Daerah Haji Surabaya (jatimprov.rsudhaji),OPD,"Ari Dewanti, A.Md.Keb",Inovasi Pelayanan Publik,Teknologi,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kesehatan,Komunikasi Dan Informatika,111.0,Penerapan,2025-07-16,2023-09-01,2024-01-02,Ada,https://drive.google.com/file/d/1BCm1REwmpt7zRassM4asC2_OyGUApTkl/view,Sangat Inovatif,-7.283116234095298,112.77972822502568
378,TERATAS (TELERADIOLOGI TANPA BATAS),Provinsi Jawa Timur,Dinas Kesehatan UPT. RS Karsa Husada (jatimprov.dinkes.uptkarsahusada),ASN,INSTALASI RADIOLOGI RSUD KARSA HUSADA BATU,Inovasi Pelayanan Publik,Teknologi,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kesehatan,"Kearsipan,Fungsi Penunjang Lainnya Sesuai Dengan Ketentuan Peraturan Perundang-Undangan",111.0,Penerapan,2025-07-16,2023-12-01,2024-01-16,Ada,https://drive.google.com/file/d/1iOeE-InU5Abaty6yOOKG0eyp00sEyrKV/view?usp=sharing,Sangat Inovatif,,
379,Limbah Organik Cangkang Telur  Meningkatkan Kesuburan Tanaman (LHA CIAMIK),Provinsi Jawa Timur,Rumah Sakit Umum Daerah dr. Soetomo Surabaya (jatimprov.rsudsoetomo),OPD,"Prof. Dr. Cita Rosita Sigit Prakoeswa, dr. Sp. DVE, Subsp. DAI., FINSDV., FAADV., MARS",Inovasi Pelayanan Publik,Teknologi,"Memantapkan sistem pertahanan keamanan negara dan mendorong kemandirian bangsa melalui swasembada pangan, energi, air, ekonomi kreatif, ekonomi hijau, dan ekonomi biru.",Kesehatan,Lingkungan Hidup,111.0,Penerapan,2025-07-16,2023-01-02,2024-01-02,Ada,https://youtu.be/PkmFhSbv5Xs?si=3kYvp2CNiSPa5Lfv,Sangat Inovatif,-7.267961593574259,112.75808772840672
380,Layangan Gemas (Layanan Dalam Genggaman Masyarakat),Provinsi Jawa Timur,Rumah Sakit Umum Daerah Haji Surabaya (jatimprov.rsudhaji),OPD,"dr. Afan Fatkhur Akhmad, Sp.P",Inovasi Pelayanan Publik,Teknologi,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kesehatan,Tidak Ada,111.0,Penerapan,2025-07-16,2023-11-10,,Ada,https://res5.tuxedovation.com/129e4635a88581a15acbc45f4569dd82e6025982.mp4,Sangat Inovatif,-7.28316374480215,112.77969512883534
381,Transjatim-AJAIB (Aplikasi Jatim Informasi Bus) 2.0,Provinsi Jawa Timur,Dinas Perhubungan Provinsi Jawa Timur (jatimprov.dishub),OPD,"Dr. Ir. NYONO, S.T., M.T.",Inovasi Pelayanan Publik,Teknologi,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pekerjaan Umum Dan Penataan Ruang,"Perhubungan,Pariwisata",111.0,Penerapan,2025-07-16,2023-08-13,2024-06-06,Ada,https://drive.google.com/file/d/1cjWPqU__DaMSeWm5vrKriQXJEZFIkit9/view?usp=sharing,Sangat Inovatif,-7.340150918120029,112.72875243068236
382,"Sistem Informasi Indikator Mutu, Insiden Keselamatan Pasien & Manajemen Risiko (SI IMUT IKA MANIS)",Provinsi Jawa Timur,Dinas Kesehatan UPT. RSU Mohammad Noer Pamekasan (jatimprov.dinkes.uptmnoerpamekasan),OPD,ANDY EKA BACHTIAR,Inovasi Pelayanan Publik,Teknologi,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kesehatan,Komunikasi Dan Informatika,111.0,Penerapan,2025-07-17,2023-01-05,2024-01-08,Ada,https://res5.tuxedovation.com/dd5c13d49fdb7a3188ed92e9549832c754f51411.mp4,Sangat Inovatif,-7.157017897584539,113.49094391278737
383,GERIATRI PRIORITAS (GETAS),Provinsi Jawa Timur,Rumah Sakit Umum Daerah Haji Surabaya (jatimprov.rsudhaji),OPD,"dr. DWINANTO ANANDA MUTTAQIN, SpOG",Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kesehatan,Fungsi Penunjang Lainnya Sesuai Dengan Ketentuan Peraturan Perundang-Undangan,111.0,Penerapan,2025-07-17,2023-06-08,2024-06-06,Ada,https://res5.tuxedovation.com/071119e79429d71f906368c54579ba0d858c3560.mp4,Sangat Inovatif,-7.283116234095298,112.77972822502568
384,eOne SmartSchool: Transformasi Manajemen Administrasi Sekolah Berbasis Digital Menuju Sekolah Efisien dan Akuntabel,Provinsi Jawa Timur,SMA NEGERI 1 MASALEMBU SUMENEP (iga2024.sman1.masalembu.sumenep),ASN,"Anik Rekno Winarni, S.Pd.",Inovasi Pelayanan Publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,"Komunikasi Dan Informatika,Kepegawaian,Pendidikan Dan Pelatihan",30.0,Penerapan,2025-07-17,2024-07-15,,Ada,https://res5.tuxedovation.com/569dfaa8bffa41afb84c244bdbc40b277a0883cf.png,Kurang Inovatif,-5.568185,114.40379
385,SIAP ANTAR OBAT TANPA BIAYA (SIAPA),Provinsi Jawa Timur,Rumah Sakit Umum Daerah Dr. Soedono Madiun (jatimprov.rsuddrsoedono),OPD,"Firmansyah Rachman, S.Farm.Apt",Inovasi Pelayanan Publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kesehatan,Tidak Ada,111.0,Penerapan,2025-07-17,2024-01-01,,Ada,https://youtu.be/4miid69-HVo?si=1ZhskltHJ_IsB-Va,Sangat Inovatif,-7.626175368166557,111.52452650852462
386,AYAM KREMES SECETING (Ayo Makan Kreasi Menu Sehat Cegah Stunting),Provinsi Jawa Timur,Rumah Sakit Umum Daerah Dr. Soedono Madiun (jatimprov.rsuddrsoedono),OPD,"Trias Welly Andriastuti, SKM",Inovasi Pelayanan Publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kesehatan,Tidak Ada,108.0,Penerapan,2025-07-17,2023-01-07,,Ada,https://www.youtube.com/watch?v=KlPcVTgjQQc,Sangat Inovatif,-7.626175368166557,111.52452650852462
387,BAFAST (BAKORWIL FASILITATOR) BAKORWIL I MADIUN,Provinsi Jawa Timur,Badan Koordinasi Wilayah Madiun Provinsi Jawa Timur (jatimprov.bakorwilmadiun),Kepala Daerah,"R Heru Wahono Santoso S.Sos., M.M",Inovasi Pelayanan Publik,Non Digital,"Memperkuat reformasi politik, hukum, dan birokrasi, serta memperkuat pencegahan dan pemberantasan korupsi dan narkoba.",Fungsi Penunjang Lainnya Sesuai Dengan Ketentuan Peraturan Perundang-Undangan,Tidak Ada,93.0,Penerapan,2025-07-17,2024-01-01,,Ada,https://drive.google.com/file/d/194hhhN050nG1WMDkfQ3zH_OVrRGJy-r0/view?usp=sharing,Sangat Inovatif,-7.622287752033701,111.52089379600035
388,SISTEM INFORMASI PENGOLAH NOMOR (SIPENO),Provinsi Jawa Timur,Biro Umum Sekretariat Daerah Provinsi Jawa Timur (jatimprov.biroumum),OPD,"YANUAR RACHMADI, S.SOS., M.M",Inovasi Tata Kelola Pemerintahan Daerah,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kearsipan,Tidak Ada,110.0,Penerapan,2025-07-17,2023-02-13,,Ada,https://youtu.be/cGDEYJJwK14?si=M_hLAW4bD1db_0QJ,Sangat Inovatif,-7.245878888594187,112.74023333647233
389,Si-MASTER,Provinsi Jawa Timur,Badan Kepegawaian Daerah Provinsi Jawa Timur (jatimprov.bkd),ASN,"AHMAD HARIS FUADY, S.T., M.Eng.",Inovasi Tata Kelola Pemerintahan Daerah,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Tenaga Kerja,"Komunikasi Dan Informatika,Statistik,Perencanaan,Kepegawaian",81.0,Penerapan,2025-07-17,2023-01-02,2023-01-02,Ada,https://res5.tuxedovation.com/046c0e033df374e9b5cc38cd6228e1ed8796c7ab.mp4,Sangat Inovatif,-7.334477132775456,112.73534809576219
390,NINGMADU (Skrining Mata Terpadu),Provinsi Jawa Timur,Dinas Kesehatan UPT. RS Mata Masyarakat (jatimprov.dinkes.uptmatamasy),OPD,"Aisyah Wahyu Novanda, S.KM",Inovasi Pelayanan Publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kesehatan,Sosial,72.0,Penerapan,2025-07-17,2023-01-02,2024-11-22,Ada,https://www.youtube.com/watch?v=AlAxbzWSGUQ,Sangat Inovatif,-7.325511343652712,112.72581326765508
391,Sistem Informasi Kendaraan Dinas (SIKENDIS),Provinsi Jawa Timur,Biro Umum Sekretariat Daerah Provinsi Jawa Timur (jatimprov.biroumum),OPD,"YANUAR RACHMADI, S.SOS., M.M",Inovasi Tata Kelola Pemerintahan Daerah,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kearsipan,Perencanaan,111.0,Penerapan,2025-07-17,2023-12-11,,Ada,https://www.youtube.com/watch?v=ehIZ0O7F1lk,Sangat Inovatif,-7.245878888594187,112.74023333647233
392,Sistem Manajemen Surat Elektronik Go Publik (SiMAS BAIK Go Publik),Provinsi Jawa Timur,Biro Umum Sekretariat Daerah Provinsi Jawa Timur (jatimprov.biroumum),OPD,"YANUAR RACHMADI, S.SOS., M.M",Inovasi Tata Kelola Pemerintahan Daerah,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kearsipan,Tidak Ada,109.0,Penerapan,2025-07-17,2023-10-12,,Ada,https://youtu.be/NB5RJ7D1s7g?si=Dz2NCXFWakKx_BE5,Sangat Inovatif,-7.245878888594187,112.74023333647233
393,LAYANAN ANTAR OBAT (LAO),Provinsi Jawa Timur,Dinas Kesehatan UPT. RS Mata Masyarakat (jatimprov.dinkes.uptmatamasy),OPD,dr. ADI SUCIPTO,Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kesehatan,Perhubungan,74.0,Penerapan,2025-07-17,2023-05-17,,Ada,https://drive.google.com/file/d/1yb-dlSevEqXo_XsI5AgJVgBi1t7MeHZw/view?usp=drivesdk,Sangat Inovatif,-7.32563903880611,112.72621023285068
394,"PIALA OSCAR ""PELAYANAN ONE STOP CENTER REHABILTASI NAPZA""",Provinsi Jawa Timur,Rumah Sakit Jiwa Menur Surabaya (jatimprov.rsjiwamenur),OPD,Drg. Vitra Dewi MSi (Direktur RS Jiwa Menur),Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kesehatan,Sosial,111.0,Penerapan,2025-07-17,2024-04-16,2024-09-16,Ada,https://res5.tuxedovation.com/5d52a76df40b4602c46a4f8c821fa7df8d7bb885.mp4,Sangat Inovatif,-7.281286173355396,112.76224119435972
395,FISIOTERAPI ONLINE (FIT ON),Provinsi Jawa Timur,Dinas Kesehatan UPT. RSK Sumberglagah Mojokerto (jatimprov.dinkes.uptsumberglagahmjk),OPD,dr NINIS HERLINA KIRANASARI,Inovasi Pelayanan Publik,Teknologi,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kesehatan,Sosial,111.0,Penerapan,2025-07-17,2023-06-20,2024-09-17,Ada,https://www.youtube.com/watch?v=BENxNDQsJyI,Sangat Inovatif,-7.6073481386865165,112.54079798231186
396,Sistem Informasi Arsip Berbasis Elektronik (SIAP BAIK),Provinsi Jawa Timur,Biro Umum Sekretariat Daerah Provinsi Jawa Timur (jatimprov.biroumum),OPD,"YANUAR RACHMADI, S.SOS., M.M",Inovasi Tata Kelola Pemerintahan Daerah,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kearsipan,Tidak Ada,109.0,Penerapan,2025-07-17,2023-06-05,,Ada,https://youtu.be/LNBDuDbvcU0?si=81RDNte4I9nvJ1yn,Sangat Inovatif,-7.245878888594187,112.74023333647233
397,Rumah ASN,Provinsi Jawa Timur,Badan Kepegawaian Daerah Provinsi Jawa Timur (jatimprov.bkd),OPD,"INDAH WAHYUNI, S.H., M.Si.",Inovasi Pelayanan Publik,Digital,"Memperkuat reformasi politik, hukum, dan birokrasi, serta memperkuat pencegahan dan pemberantasan korupsi dan narkoba.","Ketenteraman, Ketertiban Umum, Dan Pelindungan Masyarakat","Komunikasi Dan Informatika,Statistik,Perencanaan,Kepegawaian",102.0,Penerapan,2025-07-17,2023-04-27,2023-04-27,Ada,https://youtu.be/j5D9-5xhZIs?si=Mpp7H7hA6mANT7mm,Sangat Inovatif,-7.334477132775456,112.73534809576219
398,Pelayanan Ibu dan Anak Terpadu dan Terintegrasi RSUD HUSADA PRIMA (BUNDA PRIMA),Provinsi Jawa Timur,Dinas Kesehatan UPT. RS Husada Prima/RS Paru Surabaya (jatimprov.dinkes.uptparusurabaya),ASN,"dr. Tizar Dwi Satyoputro, Sp.OG",Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kesehatan,Pemberdayaan Perempuan Dan Pelindungan Anak,111.0,Penerapan,2025-07-17,2023-03-06,2024-03-04,Ada,https://www.youtube.com/watch?v=LYOIr_Bvduk,Sangat Inovatif,-7.223925575685379,112.74654960969568
399,SINERGITAS HIV TUBERKULOSIS RSUD HUSADA PRIMA (SEHATI PRIMA),Provinsi Jawa Timur,Dinas Kesehatan UPT. RS Husada Prima/RS Paru Surabaya (jatimprov.dinkes.uptparusurabaya),ASN,"dr.Mochammad Ayyub Arachman, M.Ked.Klin., Sp.DV",Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kesehatan,Sosial,111.0,Penerapan,2025-07-17,2023-03-06,2024-03-04,Ada,https://www.youtube.com/watch?v=S832sSg9x2o,Sangat Inovatif,-7.223957506703791,112.74647450763628
400,SISTEM PENDAMPING PASIEN (SI DAMPING),Provinsi Jawa Timur,Dinas Kesehatan UPT. RSK Daha Husada Kediri (jatimprov.dinkes.uptdahahusadakediri),ASN,drg Sinta Kurniawati,Inovasi Pelayanan Publik,Teknologi,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kesehatan,Sosial,111.0,Penerapan,2025-07-17,2023-05-29,2024-09-30,Ada,https://res5.tuxedovation.com/38e773416551c0816601161990f208a817575fc4.mp4,Sangat Inovatif,-7.810752064898017,111.99730392230768
401,Elektronik Surat Pertanggungjawaban (E-SPJ),Provinsi Jawa Timur,Biro Umum Sekretariat Daerah Provinsi Jawa Timur (jatimprov.biroumum),OPD,"YANUAR RACHMADI, S.SOS., M.M",Inovasi Tata Kelola Pemerintahan Daerah,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kearsipan,Tidak Ada,109.0,Penerapan,2025-07-17,2023-03-01,,Ada,https://www.youtube.com/watch?v=yDcbOSJc9Hs,Sangat Inovatif,-7.245878888594187,112.74023333647233
402,Klinik Konsultasi Hak Merek Badan Koordinasi Wilayah Pemerintahan Dan Pembangunan Provinsi Jawa Timur Di Madiun (BAKORWIL I MADIUN),Provinsi Jawa Timur,Badan Koordinasi Wilayah Madiun Provinsi Jawa Timur (jatimprov.bakorwilmadiun),Kepala Daerah,Cicilia Satyarini Yuliarsi S.E,Inovasi Pelayanan Publik,Non Digital,"Meningkatkan lapangan kerja yang berkualitas, mendorong kewirausahaan, mengembangkan industri kreatif, dan melanjutkan pengembangan infrastruktur.","Koperasi, Usaha Kecil, Dan Menengah",Perdagangan,111.0,Penerapan,2025-07-17,2023-11-01,,Ada,"https://drive.google.com/file/d/10yxxAb8H1j6bzxoSkHRDlQHpqCEQ1FZv/view?usp=drive_link , https://drive.google.com/file/d/1A9h5zNATeeBnABs84oC85vw3OoKIREtL/view?usp=drive_link , https://drive.google.com/file/d/1kCKspOLEihzm9bKvIlm2hB0pRYWyjqWV/view?usp=drive_link, https://drive.google.com/file/d/1V2CHjXGuRKRxa7GTRNNUBy54GOEjPKF1/view?usp=drive_link",Sangat Inovatif,-7.622287752033701,111.52089379600035
403,Sistem Informasi Kepegawaian RSUD HUSADA PRIMA (SIGAMA),Provinsi Jawa Timur,Dinas Kesehatan UPT. RS Husada Prima/RS Paru Surabaya (jatimprov.dinkes.uptparusurabaya),ASN,"ELISABET LIDIA NGGUNGGU, S.KM.M.KES",Inovasi Pelayanan Publik,Teknologi,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kesehatan,Kepegawaian,111.0,Penerapan,2025-07-17,2023-03-06,2024-03-04,Ada,https://res5.tuxedovation.com/791666b143b231e063acd2d3a8b908a5af885f10.mp4,Sangat Inovatif,-7.223223092699727,112.74673200016329
404,CORN CRAFT SANDALS (CCS) SOLUSI MENGURANGI LIMBAH PERTANIAN BONGGOL JAGUNG,Provinsi Jawa Timur,SMKN 1 PONOROGO (iga2024.smkn.1.ponorogo),ASN,"SRI WAHYUNINGSIH, S.Pd.",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,"Meningkatkan lapangan kerja yang berkualitas, mendorong kewirausahaan, mengembangkan industri kreatif, dan melanjutkan pengembangan infrastruktur.",Pendidikan,"Lingkungan Hidup,Koperasi, Usaha Kecil, Dan Menengah,Pendidikan Dan Pelatihan",107.0,Penerapan,2025-07-17,2023-11-01,2024-11-01,Ada,https://youtu.be/y5VU56LgCQY?si=3zZxqCZwf6Gl2zUP,Sangat Inovatif,-7.872039,111.464125
405,"Pusat Data dan Informasi Terintegrasi Penyiapan Materi, Komunikasi, Publikasi, dan Dokumentasi Pimpinan (PASTI MAPAN)",Provinsi Jawa Timur,Biro Administrasi Pimpinan Sekretariat Daerah Provinsi Jawa Timur (jatimprov.biropimpinansek),ASN,"Dr. ZAINAL MUTTAQIN, S.Kom., M.I.Kom.",Inovasi Tata Kelola Pemerintahan Daerah,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Komunikasi Dan Informatika,Fungsi Penunjang Lainnya Sesuai Dengan Ketentuan Peraturan Perundang-Undangan,111.0,Penerapan,2025-07-17,2024-10-16,,Ada,https://drive.google.com/file/d/1oFX4W4sA0MlS8Q5-I-5En6x43LlNfnG_/view?usp=drive_link,Sangat Inovatif,-7.245160906937512,112.7399132980297
406,SMANGAT PUSTAKA AWARDS,Provinsi Jawa Timur,SMAN 1 SRENGAT (iga2024.sman.1.srengat),ASN,"NUR KHOLIS, S.Pd.I., M.Pd.I.",Inovasi Pelayanan Publik,Non Digital,"Memperkuat penyelarasan kehidupan yang harmonis dengan lingkungan, alam, dan budaya, serta peningkatan toleransi antarumat beragama untuk mencapai masyarakat yang adil dan makmur.",Pendidikan,Perpustakaan,76.0,Penerapan,2025-07-17,2024-09-08,,Ada,https://drive.google.com/file/d/1Lg2KHz4Qp41ulFL9jfbt6OlDNcaAga-o/view?usp=sharing,Sangat Inovatif,-8.0652946,112.0918419
